stock_id,stock_name,financial_quarter,eps,eps_yoy,roe,gross_margin,operating_margin,net_margin,debt_ratio,operating_cash_flow,financial_source,financial_source_status,financial_period
1760,寶齡富錦,115Q1,0.6,,,51.8746,16.0253,9.9642,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1762,中化生,115Q1,1.64,,,41.6865,22.0394,25.0816,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1773,勝一,115Q1,2.02,,,37.5504,23.3549,19.8977,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1776,展宇,115Q1,0.35,,,23.0794,9.8172,8.3158,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1783,和康生,115Q1,0.59,,,70.4995,30.6018,27.6594,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1786,科妍,115Q1,0.29,,,70.7201,10.3749,10.6934,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1789,神隆,115Q1,0.02,,,33.5808,1.2866,2.5055,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1795,美時,115Q1,2.18,,,50.7336,22.6643,6.5615,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1802,台玻,115Q1,0.2,,,19.2254,7.8823,5.715,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1805,寶徠,115Q1,0.14,,,35.3068,18.8256,17.7137,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1806,冠軍,115Q1,-0.1,,,16.1305,-6.4361,-5.8689,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1808,潤隆,115Q1,1.06,,,27.3526,22.8025,17.4749,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1809,中釉,115Q1,0.05,,,19.3667,-0.0432,-0.0657,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1810,和成,115Q1,3.64,,,17.3554,-19.134,105.7169,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1817,凱撒衛,115Q1,1.21,,,38.8247,19.2202,14.4582,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1903,士紙,115Q1,-0.07,,,65.987,-21.527,-48.4332,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1904,正隆,115Q1,0.56,,,20.6305,6.6797,5.9905,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1905,華紙,115Q1,-0.16,,,5.2426,-4.8923,-4.0253,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1906,寶隆,115Q1,-0.03,,,8.0113,2.1041,-0.5047,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1907,永豐餘,115Q1,0.13,,,13.4966,-0.4298,1.4283,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1909,榮成,115Q1,-0.02,,,10.3109,0.1486,-0.2767,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
2002,中鋼,115Q1,-0.16,,,3.3313,-0.7839,-2.3498,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
