stock_id,stock_name,date,pe_ratio,pb_ratio,dividend_yield,financial_quarter,valuation_source,valuation_source_status
2228,劍麟,2026-06-10,19.7,1.29,5.35,,TWSE OpenAPI BWIBBU_ALL,OK
2231,為升,2026-06-10,,3.67,0.54,,TWSE OpenAPI BWIBBU_ALL,OK
2233,宇隆,2026-06-10,46.25,4.37,1.38,,TWSE OpenAPI BWIBBU_ALL,OK
2236,百達-KY,2026-06-10,,3.56,0.49,,TWSE OpenAPI BWIBBU_ALL,OK
2239,英利-KY,2026-06-10,,0.23,,,TWSE OpenAPI BWIBBU_ALL,OK
2241,艾姆勒,2026-06-10,,3.26,,,TWSE OpenAPI BWIBBU_ALL,OK
2243,宏旭-KY,2026-06-10,12.37,2.4,,,TWSE OpenAPI BWIBBU_ALL,OK
2247,汎德永業,2026-06-10,14.55,1.5,6.28,,TWSE OpenAPI BWIBBU_ALL,OK
2248,華勝-KY,2026-06-10,9.53,1.5,5.46,,TWSE OpenAPI BWIBBU_ALL,OK
2250,IKKA-KY,2026-06-10,17.95,1.03,4.96,,TWSE OpenAPI BWIBBU_ALL,OK
2254,巨鎧精密-創,2026-06-10,,3.71,,,TWSE OpenAPI BWIBBU_ALL,OK
2258,鴻華先進-創,2026-06-10,,4.21,,,TWSE OpenAPI BWIBBU_ALL,OK
2301,光寶科,2026-06-10,31.32,5.49,2.35,,TWSE OpenAPI BWIBBU_ALL,OK
2302,麗正,2026-06-10,40.51,2.98,1.09,,TWSE OpenAPI BWIBBU_ALL,OK
2303,聯電,2026-06-10,29.77,3.67,2.19,,TWSE OpenAPI BWIBBU_ALL,OK
2305,全友,2026-06-10,83.89,1.95,,,TWSE OpenAPI BWIBBU_ALL,OK
2308,台達電,2026-06-10,81.12,19.08,0.53,,TWSE OpenAPI BWIBBU_ALL,OK
2312,金寶,2026-06-10,33.51,2.34,1.72,,TWSE OpenAPI BWIBBU_ALL,OK
2313,華通,2026-06-10,45.68,6.59,1.08,,TWSE OpenAPI BWIBBU_ALL,OK
2314,台揚,2026-06-10,,29.34,,,TWSE OpenAPI BWIBBU_ALL,OK
2316,楠梓電,2026-06-10,10.17,2.07,1.27,,TWSE OpenAPI BWIBBU_ALL,OK
2317,鴻海,2026-06-10,18.68,2.07,2.74,,TWSE OpenAPI BWIBBU_ALL,OK
2321,東訊,2026-06-10,,2.28,,,TWSE OpenAPI BWIBBU_ALL,OK
2323,中環,2026-06-10,5.0,0.63,1.83,,TWSE OpenAPI BWIBBU_ALL,OK
2324,仁寶,2026-06-10,27.89,1.24,2.96,,TWSE OpenAPI BWIBBU_ALL,OK
